,timestamp,duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,356,140,435,196,685.268,3.2315
1,555,279,289,205,688.1475,3.1080000000000005
2,914,219,151,310,687.1375,3.31
3,2090,160,262,221,696.0385000000001,3.4165
4,2270,199,293,224,689.0284999999999,3.426
7,4005,120,238,729,682.5,3.4055
8,4204,120,222,735,679.9155000000001,3.4619999999999997
9,4583,139,227,747,675.7584999999999,3.352
10,4942,120,246,619,679.5955000000001,3.4814999999999996
11,5141,399,240,621,680.7555,3.3724999999999996
13,5699,160,241,649,683.604,3.442
14,5998,140,232,632,685.6189999999999,3.282
15,6158,259,237,687,685.4505,3.349
17,7055,259,335,700,674.062,3.364
18,7334,100,262,609,678.3050000000001,3.2195
19,7454,139,248,615,681.155,3.3360000000000003
20,7633,100,256,634,680.2429999999999,3.3205
21,8012,100,253,639,680.53,3.276
22,8949,319,192,648,680.1915,3.2560000000000002
23,9408,160,194,637,679.421,3.4005
25,10325,140,189,653,680.2489999999999,3.2794999999999996
29,12598,120,223,537,684.7455,3.3355
31,12996,120,203,518,684.912,3.2755
32,13694,279,219,532,682.217,3.3045
33,14013,199,211,549,681.6489999999999,3.1980000000000004
34,14272,180,241,545,683.1265000000001,3.325
36,15170,100,263,641,681.2405,3.2885
38,15728,120,251,632,685.6085,3.169
39,16087,120,243,634,687.0425,3.25
40,16804,140,246,638,680.055,3.3180000000000005
42,17263,100,269,511,681.9935,3.3575
43,17821,219,135,493,686.1095,3.336
44,18180,160,123,491,684.3154999999999,3.3099999999999996
45,18479,160,123,493,684.7125000000001,3.2305
48,19476,100,169,528,689.405,3.3869999999999996
49,19795,100,167,530,688.5565,3.245
50,19955,199,203,509,689.1495,3.391
51,20652,199,156,595,686.8644999999999,3.4215
52,21689,239,134,494,688.5835,3.2119999999999997
54,22487,140,213,548,691.7149999999999,3.3779999999999997
55,22666,160,136,495,689.8045,3.4435000000000002
59,24201,219,218,543,686.7379999999999,3.3255
60,24580,140,246,540,688.55,3.284
61,25019,100,64,203,697.6824999999999,3.3175
62,25477,100,279,214,699.0565,3.2575
63,25796,319,307,602,690.24,3.3355
65,27192,140,196,701,676.5225,3.315
66,27471,279,329,602,676.263,3.295
