,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,86,785.715,4.346,779.65,4.936,179,626,389,782.6825,4.641
1,285,784.815,4.316,777.685,4.959,578,618,393,781.25,4.637499999999999
2,883,783.451,3.8689999999999998,778.227,4.512,140,612,395,780.8389999999999,4.1905
3,1083,782.872,3.883,777.556,4.569,339,658,282,780.2139999999999,4.226
4,1481,789.807,4.045,782.42,4.729,120,603,355,786.1134999999999,4.3870000000000005
5,1681,786.546,4.155,781.235,4.828,199,568,706,783.8905,4.4915
6,1920,793.684,4.177,789.528,4.921,140,558,536,791.606,4.5489999999999995
7,2079,798.623,4.191,791.25,4.872,299,568,538,794.9365,4.531499999999999
8,3914,690.954,3.9139999999999997,694.258,4.564,299,459,848,692.606,4.239
9,4312,705.2819999999999,3.998,696.2180000000001,4.648,180,536,576,700.75,4.323
10,4512,698.138,4.175,691.324,4.716,339,465,709,694.731,4.4455
11,4911,682.2660000000001,4.262,667.7660000000001,4.823,698,399,898,675.0160000000001,4.5425
12,5628,680.7130000000001,4.251,669.461,4.812,498,403,982,675.087,4.5315
13,6167,678.439,4.322,674.1360000000001,4.935,618,487,933,676.2875,4.6285
14,6825,678.8439999999999,4.2010000000000005,668.6410000000001,4.815,219,547,929,673.7425000000001,4.508000000000001
15,7064,689.5939999999999,4.082,674.2080000000001,4.756,140,493,924,681.9010000000001,4.4190000000000005
16,7303,684.105,3.946,669.3430000000001,4.617,199,257,905,676.724,4.2815
17,7542,683.5,4.07,667.169,4.713,439,609,950,675.3344999999999,4.391500000000001
18,8001,674.545,3.9339999999999997,677.313,4.718999999999999,399,250,842,675.929,4.326499999999999
19,8420,-1.0,-1.0,661.872,4.5,259,254,836,330.436,1.75
20,8719,681.817,3.963,667.755,4.495,219,391,779,674.7860000000001,4.229
21,8998,668.242,3.7510000000000003,672.39,4.45,239,560,967,670.316,4.1005
22,9496,666.9810000000001,3.718,669.707,4.463,120,352,743,668.344,4.0905000000000005
23,9696,682.293,3.909,663.638,4.5,179,134,252,672.9655,4.2044999999999995
24,9895,681.7919999999999,3.89,664.0360000000001,4.435,279,63,234,672.914,4.1625
25,10234,686.7710000000001,3.905,668.663,4.518,239,883,791,677.7170000000001,4.2115
26,10493,688.57,3.887,670.967,4.39,160,1090,945,679.7685,4.1385
27,10693,671.94,3.82,666.7689999999999,4.532,140,1088,928,669.3544999999999,4.176
