,timestamp,duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,100,239,600,565,789.135,4.4555
1,399,100,605,565,790.6165000000001,4.5005
2,538,239,530,291,786.813,4.3885
3,1675,120,96,210,661.7235000000001,4.055
4,1814,160,52,193,667.5455,4.0645
5,2014,718,260,196,653.1305,4.1465
6,2791,140,48,661,651.0155,4.2425
7,2951,917,87,632,654.985,4.3255
8,3928,239,240,303,648.6065000000001,4.504
9,4187,279,246,296,654.9480000000001,4.462
10,4506,160,138,219,660.8885,4.723
11,4785,179,470,218,667.531,4.579
12,5463,299,296,264,762.275,4.7364999999999995
13,5881,199,63,237,738.3515,4.5305
14,6181,179,338,209,752.512,4.58
15,6400,518,60,216,753.5504999999999,4.4775
16,6978,439,253,222,749.1275,4.436
17,7476,399,68,213,751.441,4.4345
18,7915,479,280,203,731.479,4.3505
19,8553,179,143,208,733.3095000000001,4.25
20,8753,179,65,215,733.494,4.298500000000001
21,9032,219,222,199,737.025,4.3035
22,9331,638,63,203,732.759,4.1005
23,10028,180,270,209,738.88,4.129
24,10248,219,54,588,738.5715,4.162
25,10487,419,80,632,735.0235,4.1674999999999995
26,10926,180,73,635,732.0844999999999,4.0665000000000004
27,11145,1097,58,655,732.6425,4.126
28,12281,239,102,721,730.3705,4.3915
29,12541,199,102,774,728.915,4.444
30,12820,718,77,638,729.537,4.4975
31,13557,339,28,634,730.3515,4.452999999999999
32,13916,678,96,665,728.9535,4.404
36,15870,100,40,621,585.5865000000001,3.9610000000000003
37,16109,139,90,640,580.7005,3.854
38,16508,140,129,667,584.2475,3.933
40,17605,239,116,654,586.424,3.9025
41,17924,219,117,657,588.9325,4.0344999999999995
42,18163,180,124,652,589.2065,4.073
43,18422,279,134,672,590.4125,4.0875
44,18721,100,132,668,589.816,4.2645
45,18861,339,130,686,604.362,4.322
46,19240,1216,119,664,652.548,4.3454999999999995
47,20516,479,131,657,647.9795,4.0795
48,21014,180,102,647,647.6595,4.152
49,21213,239,129,673,646.7975,4.077
50,21931,1436,110,692,743.3305,4.3965
51,23426,638,103,648,721.6175000000001,4.4635
52,24084,219,73,631,720.5975,4.468999999999999
53,24324,518,124,672,719.6089999999999,4.4575
54,25241,179,110,675,721.2425000000001,4.3395
55,25440,180,89,681,720.24,4.377
56,25639,279,56,645,718.947,4.323499999999999
57,25939,1017,85,647,719.6095,4.324999999999999
58,26975,399,117,696,720.0015000000001,4.295
59,27394,518,73,597,721.1455,4.325
60,27932,180,69,776,722.007,4.3565000000000005
61,28132,140,78,707,720.1865,4.3165
62,28291,1017,64,697,720.112,4.2780000000000005
63,29328,479,121,715,722.767,4.227
64,29846,259,56,755,721.661,4.1625
65,30125,120,461,766,720.394,4.1985
66,30325,299,40,707,721.6075000000001,4.211
67,30843,159,101,211,718.8230000000001,4.239000000000001
68,31023,379,65,200,716.9945,4.145
70,32039,498,32,698,721.3425,4.17
71,32558,1057,82,722,721.644,4.1785
72,33634,319,55,716,720.154,4.378
73,33973,279,108,717,719.5505,4.476
74,34272,1475,104,811,721.429,4.4795
75,35768,937,123,830,720.5374999999999,4.491499999999999
76,36725,538,118,879,720.9794999999999,4.664
77,37323,120,97,642,716.0439999999999,4.576
78,37462,1077,79,615,720.1065000000001,4.6
79,38559,538,40,602,720.735,4.368
80,39117,917,96,620,720.7565,4.648
81,40054,538,47,642,722.1895,4.7535
82,40613,718,59,641,720.2595,4.6005
83,41350,837,62,646,721.454,4.361000000000001
84,42208,678,74,607,720.204,4.346
85,42905,538,100,626,721.1985000000001,4.454000000000001
86,44201,100,146,271,758.7435,4.75
87,44421,180,77,217,746.181,4.4254999999999995
88,44859,120,83,642,724.2805,4.029
89,44999,1495,102,627,725.471,4.1585
90,46554,140,524,774,735.4855,4.616499999999999
91,46713,439,436,743,735.894,4.585
92,47172,199,440,834,733.2864999999999,4.49
93,47411,339,469,751,732.6869999999999,4.4345
94,47850,319,68,626,727.851,4.3565000000000005
95,48249,179,580,754,734.774,4.516500000000001
96,48468,518,452,827,733.7295000000001,4.531499999999999
97,49046,219,589,719,734.0115000000001,4.346
98,49345,578,463,832,729.3855,4.2044999999999995
99,49943,778,458,793,732.2574999999999,4.119
100,50741,339,436,845,732.5425,4.147
101,51100,538,437,889,730.7905000000001,4.128
102,51658,319,462,884,733.6804999999999,4.225499999999999
103,52037,120,462,935,725.098,4.116
104,52176,239,418,948,738.5545,4.1765
105,52455,159,458,695,723.4110000000001,4.1530000000000005
106,52635,778,447,726,733.7115,4.18
107,53432,698,460,790,734.667,4.199999999999999
108,54150,160,464,731,730.5844999999999,4.0225
109,54349,459,463,892,732.8165,3.9819999999999998
110,54868,239,472,647,731.921,4.026
111,55127,598,460,542,735.2815,3.9880000000000004
112,55785,359,71,626,734.027,3.899
113,56244,120,759,596,722.5274999999999,3.928
114,56383,518,718,608,725.8230000000001,3.879
115,57021,100,163,254,732.347,3.903
116,57260,100,272,210,736.0509999999999,3.9734999999999996
118,57898,1196,696,581,731.899,4.2275
119,59114,459,735,597,730.5635,4.323
120,59593,319,743,636,730.419,4.541
122,60889,239,702,646,730.784,4.509
123,61148,359,753,663,731.155,4.484
124,61527,1077,759,745,730.0325,4.5605
125,62644,239,737,659,730.8199999999999,4.433999999999999
127,63082,618,92,610,724.9375,4.4615
128,63780,120,756,715,729.251,4.2145
129,63920,459,781,731,730.424,4.288
130,64478,179,112,613,730.77,4.2515
131,64677,159,97,594,725.2405000000001,4.1395
132,65435,738,87,595,722.747,4.2515
133,66232,279,767,593,730.3195000000001,4.115
134,66531,977,731,605,729.4614999999999,4.1834999999999996
135,67528,518,724,573,729.375,4.154999999999999
136,68146,459,106,617,723.4480000000001,4.2755
137,68625,479,83,619,723.1379999999999,4.136
138,69243,817,706,575,728.89,4.1865
139,70140,100,71,582,726.1965,4.0075
140,70280,120,75,574,723.2729999999999,3.8394999999999997
141,70419,299,44,578,722.765,3.955
142,70818,179,64,593,722.7065,3.9655
143,71037,160,67,595,723.295,3.93
144,71257,359,73,634,723.5360000000001,3.869
145,71715,179,772,645,728.6475,3.9925
146,71934,638,728,612,726.7284999999999,3.922
147,72732,439,752,617,737.745,3.944
148,73250,518,67,604,727.885,4.0135000000000005
149,73848,120,775,682,729.6225,4.0405
150,73988,459,775,720,729.3785,3.9925
151,74626,100,98,620,723.9370000000001,3.9615
152,74825,778,773,716,727.8219999999999,4.124
153,75623,658,764,719,725.3989999999999,4.1665
154,76520,618,754,656,726.521,4.163
155,77158,319,758,737,728.347,4.0135
156,77497,120,764,738,728.3499999999999,3.974
157,77636,140,811,720,726.6865,4.0095
158,77796,479,731,818,727.0284999999999,3.9265
159,78334,160,370,268,721.9515,4.031499999999999
160,78514,160,278,193,727.5755,4.044
161,78693,279,494,182,731.815,4.13
162,78992,817,595,200,731.8155,4.162
163,79889,179,444,230,729.2,4.252
164,80089,1117,496,243,730.644,4.218
165,81285,379,75,574,725.592,4.2195
166,81684,638,90,634,725.616,4.32
167,82561,140,83,624,728.5315,4.3100000000000005
168,82721,658,82,621,727.889,4.1995
169,83399,738,92,656,722.8245000000001,4.1205
171,85053,139,811,653,729.2035000000001,4.401
172,85253,160,717,592,729.9125,4.1705
173,85452,139,714,822,728.8770000000001,4.0315
174,85711,100,734,828,729.2215000000001,4.0425
176,86210,279,755,769,724.3729999999999,4.2235
177,86509,917,732,601,730.3875,4.352
178,87486,678,746,795,727.4100000000001,4.3100000000000005
180,88582,1475,721,641,734.176,4.154
181,90177,1336,732,603,727.2035000000001,4.076
183,92251,638,734,698,732.3915000000001,4.321
184,92909,578,687,571,732.2755,4.0975
185,93507,160,683,587,769.6914999999999,4.1295
186,93726,219,676,296,789.2829999999999,4.1525
187,95820,100,698,616,737.7,4.1535
188,96258,160,734,644,743.577,4.256
189,96458,199,730,652,743.4355,4.2135
190,97175,100,686,608,744.213,4.275
191,97315,159,684,611,749.215,4.338
192,97514,179,708,635,748.634,4.3420000000000005
193,97734,199,705,633,748.971,4.1835
196,98611,199,735,691,746.4704999999999,4.2695
197,98930,120,730,677,753.1610000000001,4.436
198,99089,180,740,676,756.2130000000001,4.3015
199,99309,179,758,677,752.6825,4.2095
200,99628,120,771,677,753.6959999999999,4.345000000000001
202,100066,140,773,680,746.3475000000001,4.339
203,100425,120,738,704,741.0305000000001,4.321999999999999
204,100664,120,765,702,741.3525,4.2915
205,100824,199,768,708,739.468,4.2795000000000005
206,101143,120,800,712,744.9395,4.298500000000001
207,101302,199,744,706,740.068,4.2435
208,101542,199,740,707,739.721,4.3105
209,101801,160,729,707,742.6469999999999,4.3975
210,102000,219,733,715,740.5554999999999,4.4
211,102259,179,745,714,740.885,4.3875
212,102479,199,747,716,744.29,4.3715
213,102718,200,744,696,740.5555,4.3004999999999995
215,103595,140,769,696,742.2285,4.1555
216,103775,100,772,699,738.7395000000001,4.173
217,104094,100,743,717,743.5160000000001,4.026
218,104253,179,762,694,740.675,3.9459999999999997
219,105070,140,736,653,742.056,3.9855
220,105449,160,756,677,742.2529999999999,3.9995000000000003
221,105649,199,749,674,740.615,4.041499999999999
222,105888,199,753,693,744.3685,4.0295
223,106127,100,746,694,742.825,4.0835
224,106247,100,700,625,743.169,4.0344999999999995
225,108021,319,72,627,740.2315,4.0005
226,108719,120,75,611,749.252,3.7800000000000002
227,108879,120,87,630,752.6295,3.8859999999999997
228,109038,179,85,628,749.3985,3.8805
229,109357,219,72,612,743.9415,3.9109999999999996
230,109656,120,719,583,748.9735000000001,3.9585
231,109816,299,717,576,747.5295000000001,3.9825
