,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,835,813.586,4.07,818.035,4.103,259,711,530,815.8105,4.0865
1,1593,803.715,3.775,805.602,4.059,100,545,178,804.6585,3.917
2,1752,788.7919999999999,3.775,794.2289999999999,3.9610000000000003,199,299,209,791.5104999999999,3.8680000000000003
3,1971,788.742,3.878,792.454,4.084,140,277,214,790.598,3.981
4,2171,786.972,3.8739999999999997,786.2860000000001,4.0569999999999995,319,66,219,786.629,3.9654999999999996
5,2570,785.699,3.79,789.817,4.208,179,305,225,787.758,3.999
6,3108,769.471,3.915,770.7339999999999,4.265,140,276,217,770.1025,4.09
7,3267,761.207,4.061,760.852,4.316,199,316,218,761.0295,4.1884999999999994
8,3527,757.546,3.898,757.422,4.146,120,314,225,757.484,4.022
9,3666,759.138,3.812,761.482,4.188,219,107,203,760.31,4.0
10,3965,766.3480000000001,3.865,766.73,4.246,100,53,540,766.539,4.0555
11,4085,768.159,4.0360000000000005,767.7710000000001,4.234,319,57,535,767.965,4.135
12,4424,774.37,3.9730000000000003,772.625,4.096,319,45,549,773.4975,4.0345
13,4763,787.8330000000001,4.011,785.27,4.056,199,192,546,786.5515,4.0335
14,5122,781.7,4.037,777.7360000000001,4.263999999999999,219,304,563,779.7180000000001,4.150499999999999
15,5361,775.221,4.0,776.247,4.234,100,88,567,775.7339999999999,4.117
16,5560,774.972,3.978,774.435,4.319,319,118,561,774.7035,4.1485
17,6597,786.9860000000001,4.099,782.679,4.456,100,694,539,784.8325,4.2775
18,6756,787.4010000000001,4.0360000000000005,784.431,4.47,179,698,545,785.916,4.253
19,7155,788.297,4.124,787.297,4.419,180,701,539,787.797,4.2715
20,7394,791.1560000000001,4.151,787.39,4.507,678,767,556,789.273,4.329
21,8092,795.712,4.0089999999999995,794.551,4.29,100,796,556,795.1315,4.1495
22,8371,797.688,4.051,791.297,4.305,100,776,564,794.4925000000001,4.178
23,8830,780.33,3.83,787.773,4.12,359,74,206,784.0515,3.975
24,9269,784.204,3.8489999999999998,786.34,4.152,199,297,211,785.2719999999999,4.0005
25,9667,798.23,3.998,791.672,4.221,140,707,542,794.951,4.109500000000001
26,9827,795.8919999999999,3.911,791.3430000000001,4.135,120,705,548,793.6175000000001,4.023
27,10026,797.3660000000001,3.917,789.788,4.296,120,745,556,793.577,4.1065000000000005
28,10265,794.8510000000001,3.92,793.275,4.263999999999999,100,746,546,794.0630000000001,4.092
29,10704,785.122,3.716,790.242,4.236000000000001,140,76,544,787.682,3.9760000000000004
30,10864,784.7289999999999,3.8560000000000003,788.7239999999999,4.23,219,169,543,786.7265,4.043
31,11163,787.692,3.7230000000000003,790.225,4.107,120,245,545,788.9585,3.915
32,11581,790.805,3.717,792.617,4.205,160,344,562,791.711,3.9610000000000003
33,11860,793.872,3.7489999999999997,788.842,4.11,179,737,542,791.357,3.9295
34,12658,798.775,3.872,790.291,4.187,179,793,593,794.533,4.0295000000000005
35,12957,-1.0,-1.0,790.2919999999999,4.254,299,101,558,394.64599999999996,1.6269999999999998
36,13276,785.49,3.7439999999999998,789.117,4.147,379,56,544,787.3035,3.9455
37,13715,785.898,3.7539999999999996,790.3889999999999,4.154,259,110,579,788.1434999999999,3.9539999999999997
38,13994,789.5039999999999,3.77,789.525,4.256,199,129,571,789.5145,4.013
39,14213,786.6360000000001,3.675,789.909,4.23,219,126,584,788.2725,3.9525
40,14692,783.1110000000001,3.7430000000000003,787.1460000000001,4.252,100,103,257,785.1285,3.9975
41,15090,781.798,3.778,783.315,4.144,100,77,207,782.5565,3.9610000000000003
42,15250,785.7139999999999,3.8489999999999998,784.738,4.185,219,309,224,785.226,4.0169999999999995
43,16047,796.8939999999999,4.25,-1.0,-1.0,100,792,591,397.94699999999995,1.625
44,16167,797.789,4.037,789.2819999999999,4.218,578,782,630,793.5355,4.1274999999999995
45,16845,797.93,4.102,792.523,4.2780000000000005,100,740,629,795.2265,4.19
46,17064,785.405,3.7889999999999997,790.711,4.371,698,129,608,788.058,4.08
47,17941,795.6339999999999,3.912,790.441,4.236000000000001,120,746,615,793.0374999999999,4.074
48,18240,796.5930000000001,3.903,790.305,4.262,120,773,604,793.4490000000001,4.0825
49,18380,795.959,4.0360000000000005,788.99,4.3,100,784,598,792.4745,4.168
50,18500,797.064,3.984,791.7719999999999,4.327,478,785,605,794.4179999999999,4.1555
51,19237,798.204,4.252,789.305,4.518,179,811,608,793.7545,4.385
52,19636,795.3610000000001,4.236000000000001,792.56,4.487,100,744,558,793.9605,4.3615
53,19756,795.827,4.132,793.378,4.416,299,774,558,794.6025,4.274
54,20075,797.488,4.0569999999999995,792.627,4.405,239,770,554,795.0575,4.231
55,20354,797.188,3.955,792.8430000000001,4.291,199,799,554,795.0155,4.123
56,20633,797.935,3.8360000000000003,790.22,4.15,379,1140,718,794.0775,3.9930000000000003
57,21032,793.232,3.792,788.56,4.155,140,1172,730,790.896,3.9735
58,21271,796.047,3.841,790.197,4.199,179,764,622,793.1220000000001,4.02
59,21470,792.812,3.83,791.903,4.243,399,809,604,792.3575000000001,4.0365
60,21889,794.664,3.862,790.3,4.2589999999999995,120,758,590,792.482,4.060499999999999
61,22348,790.591,3.888,795.029,4.208,120,774,581,792.81,4.048
62,22487,794.6569999999999,3.892,796.1189999999999,4.341,179,768,581,795.3879999999999,4.1165
63,22726,786.882,3.7939999999999996,795.3739999999999,4.297,179,170,576,791.1279999999999,4.0455
64,22966,787.158,3.807,788.398,4.207,239,115,567,787.778,4.007
65,23225,785.2539999999999,3.815,790.204,4.0889999999999995,419,120,558,787.7289999999999,3.952
66,23843,785.324,3.804,788.71,4.092,100,128,581,787.017,3.9479999999999995
67,23963,784.341,3.737,788.663,4.0889999999999995,159,132,592,786.502,3.913
68,24441,784.7439999999999,3.786,786.159,4.12,279,108,556,785.4514999999999,3.9530000000000003
69,24740,785.305,3.7460000000000004,787.6439999999999,4.082,379,122,550,786.4744999999999,3.914
70,25159,785.7489999999999,3.701,790.326,4.071000000000001,120,382,237,788.0374999999999,3.886
71,25338,781.7919999999999,3.639,787.0360000000001,4.025,399,288,216,784.414,3.832
72,25976,787.429,3.77,-1.0,-1.0,439,136,569,393.2145,1.385
73,26574,787.541,4.042,789.9739999999999,4.235,239,136,583,788.7574999999999,4.1385000000000005
74,26973,792.6610000000001,4.12,787.8580000000001,4.177,140,542,166,790.2595000000001,4.1485
75,27132,792.421,4.162,789.4910000000001,4.218999999999999,180,529,211,790.9560000000001,4.1905
76,27332,791.1439999999999,4.083,789.2230000000001,4.3,419,667,196,790.1835,4.1915
77,27791,793.4830000000001,4.0280000000000005,790.325,4.381,120,638,202,791.904,4.2045
78,28070,790.307,3.96,788.235,4.042,140,641,222,789.271,4.0009999999999994
79,28389,790.829,3.9530000000000003,791.447,4.236000000000001,140,556,279,791.1379999999999,4.0945
80,28588,793.8739999999999,3.9160000000000004,788.363,4.171,140,559,265,791.1185,4.0435
81,28827,785.6469999999999,3.8160000000000003,789.056,4.275,100,311,227,787.3515,4.0455000000000005
82,28947,787.934,3.903,789.2439999999999,4.163,199,267,225,788.5889999999999,4.033
83,29226,783.857,3.89,784.935,4.231,100,66,234,784.396,4.0605
84,29425,783.8530000000001,3.825,784.857,4.181,180,58,228,784.355,4.003
85,29625,786.2719999999999,3.786,789.3660000000001,4.287,638,122,576,787.819,4.0365
86,30283,787.8919999999999,3.86,788.6410000000001,4.329,159,136,599,788.2665,4.0945
87,30562,787.425,3.9960000000000004,788.7439999999999,4.515,140,189,599,788.0844999999999,4.2555
88,30721,786.557,4.0889999999999995,788.188,4.368,618,98,596,787.3725,4.2285
89,31439,787.3380000000001,4.03,789.87,4.398,199,146,617,788.604,4.214
90,31678,786.181,4.115,788.7589999999999,4.356,259,239,613,787.47,4.2355
91,31957,787.087,3.946,788.961,4.408,239,132,600,788.024,4.1770000000000005
92,32217,784.995,3.94,789.225,4.459,100,104,611,787.11,4.1995
93,32336,785.6389999999999,3.947,789.258,4.4910000000000005,179,98,599,787.4485,4.219
94,32635,786.455,4.011,786.7539999999999,4.45,259,157,615,786.6044999999999,4.2305
95,32914,786.178,3.98,785.975,4.423,399,234,616,786.0765,4.2015
96,33333,784.9939999999999,3.987,785.7819999999999,4.521,259,231,621,785.3879999999999,4.254
97,33632,787.3580000000001,3.912,787.836,4.355,259,143,608,787.597,4.1335
98,33911,785.9939999999999,3.9989999999999997,788.6289999999999,4.325,199,132,608,787.3114999999999,4.162
99,34151,785.441,3.989,786.8989999999999,4.2989999999999995,239,119,645,786.17,4.144
100,34410,786.3960000000001,3.9589999999999996,786.702,4.322,199,165,653,786.549,4.140499999999999
101,34749,784.905,3.93,787.1,4.269,120,114,660,786.0025,4.0995
102,34908,784.5830000000001,3.863,789.122,4.184,838,133,681,786.8525,4.0235
103,35765,784.175,3.983,784.497,4.409,279,212,708,784.336,4.196
104,36104,782.556,3.8489999999999998,788.128,4.4239999999999995,179,74,700,785.3420000000001,4.1365
105,36663,785.066,3.897,789.413,4.48,219,162,709,787.2395,4.1885
106,36922,784.431,3.923,785.4630000000001,4.47,120,253,727,784.9470000000001,4.1965
107,37161,784.9960000000001,3.878,788.1210000000001,4.408,299,141,662,786.5585000000001,4.143000000000001
108,37500,787.9010000000001,3.85,784.204,4.265,638,130,678,786.0525,4.0575
109,38158,783.387,3.907,788.4989999999999,4.25,618,132,661,785.943,4.0785
110,38796,784.2460000000001,3.986,784.9689999999999,4.29,180,133,693,784.6075000000001,4.138
111,39255,785.998,3.9610000000000003,789.209,4.3,239,254,687,787.6034999999999,4.1305
112,39514,786.1260000000001,3.897,786.297,4.2330000000000005,120,269,700,786.2115000000001,4.065
113,39673,786.6030000000001,3.841,786.953,4.226,100,186,278,786.778,4.0335
114,39853,780.092,3.8310000000000004,786.475,4.183,120,288,244,783.2835,4.007
115,40072,784.998,3.7739999999999996,788.57,4.125,199,271,226,786.7840000000001,3.9494999999999996
116,40790,792.8539999999999,3.983,790.22,4.273,160,733,564,791.537,4.128
117,41189,793.6060000000001,4.064,790.513,4.375,139,771,592,792.0595000000001,4.2195
118,41448,794.674,4.063,791.816,4.356,479,759,581,793.245,4.2095
119,41946,792.788,4.16,789.3389999999999,4.363,239,789,608,791.0635,4.2615
120,42245,793.005,4.261,790.17,4.455,379,788,622,791.5875,4.3580000000000005
121,42644,792.018,4.188,788.784,4.539,339,783,655,790.4010000000001,4.3635
122,43003,789.63,4.0889999999999995,789.48,4.538,160,788,678,789.5550000000001,4.3134999999999994
123,43302,781.4839999999999,3.9339999999999997,788.128,4.537,239,296,247,784.806,4.2355
124,43840,780.553,4.015,787.7389999999999,4.413,120,282,232,784.146,4.214
125,44079,780.556,4.079,785.5419999999999,4.401,179,781,630,783.049,4.24
126,44279,795.447,4.125,788.752,4.467,140,784,635,792.0995,4.295999999999999
127,44538,793.242,4.224,790.9069999999999,4.385,479,795,673,792.0745,4.3045
128,45056,791.7460000000001,4.013,788.6460000000001,4.3180000000000005,160,870,662,790.1960000000001,4.1655
129,45335,791.762,3.9939999999999998,791.76,4.311,219,748,559,791.761,4.1525
130,45575,794.6669999999999,4.171,791.26,4.265,498,791,460,792.9635,4.218
131,46233,793.436,4.189,785.908,4.467,180,1113,480,789.672,4.327999999999999
132,46432,790.8330000000001,4.073,780.487,4.5089999999999995,199,1091,508,785.6600000000001,4.291
133,46671,791.263,4.01,783.683,4.5089999999999995,140,1009,423,787.473,4.259499999999999
134,46950,786.72,4.102,790.434,4.617,359,1062,361,788.577,4.359500000000001
135,47449,790.4010000000001,4.0969999999999995,788.296,4.553,100,1069,365,789.3485000000001,4.324999999999999
136,47628,789.207,4.204,788.567,4.618,120,1075,376,788.887,4.411
137,47768,791.08,4.334,789.8539999999999,4.763,180,1084,359,790.467,4.5485
138,48107,779.56,4.301,790.3910000000001,4.655,100,274,251,784.9755,4.478
139,48326,781.09,4.3180000000000005,788.368,4.74,140,298,240,784.729,4.529
140,48765,793.216,4.2589999999999995,785.5010000000001,4.48,140,1043,382,789.3585,4.3695
141,49841,779.7819999999999,4.6530000000000005,774.8889999999999,5.016,100,823,423,777.3354999999999,4.8345
142,49981,779.868,4.727,779.48,5.077,140,1043,449,779.674,4.902
143,50160,783.93,4.798,780.633,5.3,120,1054,373,782.2815,5.0489999999999995
144,50300,787.1030000000001,4.863,784.3839999999999,5.456,120,1050,394,785.7435,5.1595
145,50479,789.602,5.007,786.388,5.476,538,1051,398,787.995,5.2415
146,51077,792.508,4.611000000000001,790.563,5.086,339,1060,371,791.5355,4.8485000000000005
147,51935,790.6389999999999,4.5360000000000005,790.056,4.857,100,1039,361,790.3475,4.6965
148,52054,788.7710000000001,4.569,786.825,4.837,259,1048,363,787.798,4.702999999999999
149,52334,785.7919999999999,4.587,783.057,4.845,140,1058,366,784.4245,4.715999999999999
150,52493,783.934,4.595,784.06,4.869,239,1060,367,783.997,4.731999999999999
151,52752,786.5139999999999,4.6080000000000005,785.638,4.82,479,1062,374,786.076,4.714
152,53251,785.9760000000001,4.5489999999999995,784.434,4.89,140,1054,371,785.205,4.7195
153,53749,785.046,4.569,790.303,4.894,718,1057,398,787.6745000000001,4.7315000000000005
154,54507,792.45,4.291,792.688,4.551,160,764,578,792.569,4.421
155,54766,792.312,4.292,791.4860000000001,4.736000000000001,160,761,812,791.8990000000001,4.514
156,55185,791.178,4.296,791.4680000000001,4.612,179,792,873,791.3230000000001,4.454000000000001
157,55504,797.6519999999999,4.606,798.878,4.538,259,776,645,798.265,4.572
158,55922,785.9780000000001,4.226,790.515,4.527,977,779,885,788.2465,4.3765
159,56919,787.063,4.1739999999999995,785.942,4.407,179,761,753,786.5025,4.2905
160,57178,787.245,4.109,786.426,4.46,199,775,735,786.8355,4.2844999999999995
161,57398,786.9010000000001,4.1610000000000005,786.288,4.399,179,826,744,786.5945,4.28
162,57597,785.345,4.029,784.8560000000001,4.402,199,902,731,785.1005,4.2155000000000005
163,57876,780.592,3.911,790.888,4.393,379,162,710,785.74,4.152
