,timestamp,distance(L),pupil(L),distance(R),pupil(R),duration,gazepointX,gazepointY,avg_distance,avg_pupil
0,1126,843.814,3.062,846.012,2.826,100,707,269,844.913,2.944
1,1544,833.9830000000001,3.0639999999999996,841.437,2.717,120,744,258,837.71,2.8905
2,1684,836.096,3.0580000000000003,840.485,2.892,219,808,260,838.2905000000001,2.975
3,2980,835.591,3.13,836.19,2.7,120,718,283,835.8905,2.915
4,3159,832.253,3.187,835.191,2.7939999999999996,100,674,273,833.722,2.9905
5,3319,837.069,3.174,836.432,2.8339999999999996,120,680,283,836.7505,3.0039999999999996
6,3578,836.919,3.0869999999999997,838.058,2.825,140,725,265,837.4884999999999,2.956
7,3738,831.566,3.1239999999999997,835.173,2.7739999999999996,100,723,266,833.3695,2.949
8,3857,828.9780000000001,3.175,834.058,2.786,179,713,272,831.518,2.9805
9,4176,828.62,3.048,828.377,2.845,120,727,282,828.4984999999999,2.9465000000000003
10,4535,834.669,3.3080000000000003,835.07,2.859,199,721,288,834.8695,3.0835
11,4934,834.2769999999999,3.253,835.628,2.803,199,738,284,834.9525,3.028
12,5352,824.7660000000001,3.096,825.73,2.801,100,741,266,825.248,2.9485
13,5831,819.068,3.012,816.762,2.697,100,301,200,817.915,2.8545
14,6010,816.914,3.1210000000000004,810.2280000000001,2.872,100,376,195,813.571,2.9965
15,6808,818.7439999999999,3.04,817.914,2.7769999999999997,439,522,196,818.329,2.9085
16,7984,822.205,2.9739999999999998,820.941,2.702,319,92,216,821.5730000000001,2.838
17,8323,825.337,2.94,815.4639999999999,2.59,120,130,181,820.4005,2.7649999999999997
18,8762,820.451,3.1289999999999996,817.0089999999999,2.892,100,763,535,818.73,3.0104999999999995
19,8981,818.2669999999999,3.063,822.2130000000001,2.7510000000000003,199,726,518,820.24,2.907
20,9719,816.133,2.9730000000000003,817.755,2.878,139,702,509,816.944,2.9255000000000004
21,10197,818.443,3.015,815.9780000000001,2.8569999999999998,140,172,394,817.2105,2.936
22,10357,824.722,3.093,817.025,2.824,120,86,515,820.8734999999999,2.9585
23,10516,822.69,3.07,817.946,2.798,140,112,514,820.318,2.934
24,10775,822.4960000000001,3.111,817.063,2.937,179,134,216,819.7795000000001,3.024
25,11074,822.8580000000001,3.128,814.545,2.903,179,99,226,818.7015,3.0155000000000003
26,11772,821.7589999999999,3.0580000000000003,817.488,2.841,219,526,186,819.6234999999999,2.9495000000000005
27,12331,821.998,3.082,815.575,2.846,140,323,220,818.7865,2.964
28,12689,823.7819999999999,3.1,816.0419999999999,2.8,140,123,211,819.9119999999999,2.95
29,12949,821.367,3.168,816.051,2.839,179,98,236,818.7090000000001,3.0035
30,14005,822.0419999999999,3.1839999999999997,816.212,2.885,179,120,414,819.127,3.0344999999999995
31,14304,819.88,3.093,-1.0,-1.0,100,210,164,409.44,1.0465
32,14623,819.59,3.043,812.909,2.775,179,134,196,816.2495,2.909
33,14903,819.692,3.113,806.5310000000001,2.7939999999999996,100,104,235,813.1115,2.9535
34,15261,822.918,3.113,813.5160000000001,2.862,160,101,540,818.2170000000001,2.9875
35,15521,821.091,3.208,808.48,2.968,100,109,542,814.7855,3.088
36,15760,818.319,3.1860000000000004,808.335,2.8480000000000003,179,55,552,813.327,3.0170000000000003
37,15999,819.2310000000001,3.275,807.1510000000001,2.98,120,61,548,813.191,3.1275
38,16258,819.283,3.32,809.54,3.083,120,111,550,814.4114999999999,3.2015000000000002
39,17435,817.2639999999999,3.3280000000000003,806.539,2.888,140,99,579,811.9014999999999,3.108
40,18372,-1.0,-1.0,812.7139999999999,3.168,100,142,594,405.85699999999997,1.084
41,18790,820.533,3.233,808.721,2.944,140,145,566,814.627,3.0885
42,19069,822.8610000000001,3.123,809.143,2.8710000000000004,100,106,572,816.0020000000001,2.9970000000000003
43,19368,820.8889999999999,3.065,807.612,3.01,180,135,588,814.2504999999999,3.0374999999999996
44,20545,822.296,3.103,810.258,2.761,120,293,220,816.277,2.9320000000000004
45,20864,822.568,3.115,816.079,2.7739999999999996,499,281,213,819.3235,2.9444999999999997
46,21502,821.602,3.196,-1.0,-1.0,259,279,207,410.301,1.098
47,21781,819.62,2.997,810.285,2.7460000000000004,538,295,210,814.9525,2.8715
48,23834,811.09,3.0060000000000002,804.685,2.699,180,744,528,807.8875,2.8525
49,24592,809.065,2.96,808.034,2.8680000000000003,120,700,545,808.5495000000001,2.914
50,24772,810.939,3.0839999999999996,812.2330000000001,2.795,100,771,563,811.586,2.9395
51,24891,809.671,3.0010000000000003,813.2489999999999,2.7110000000000003,120,746,544,811.46,2.8560000000000003
52,25350,811.028,3.034,816.544,2.753,100,695,529,813.7860000000001,2.8935
53,25489,808.712,3.05,812.706,2.801,180,708,559,810.7090000000001,2.9255
54,25788,808.9739999999999,3.048,812.4739999999999,2.889,120,758,549,810.7239999999999,2.9684999999999997
55,25928,810.346,3.159,813.904,2.938,180,768,581,812.125,3.0484999999999998
56,26167,809.819,3.053,810.505,2.8989999999999996,160,774,589,810.162,2.976
57,26885,805.783,3.032,806.322,3.077,140,765,593,806.0525,3.0545
58,28360,800.3960000000001,3.139,803.544,2.98,100,732,610,801.97,3.0595
59,28639,799.556,3.032,804.475,2.955,120,736,608,802.0155,2.9935
60,28859,800.002,3.113,802.345,2.8139999999999996,100,729,600,801.1735,2.9635
61,28978,798.69,3.0210000000000004,806.492,2.79,120,745,613,802.591,2.9055
62,30713,802.992,3.108,811.4689999999999,2.7960000000000003,279,1124,735,807.2304999999999,2.952
