,timestamp,duration,gazepointX,gazepointY,avg_distance,avg_pupil
1,1462,100,715,231,832.6775,2.7359999999999998
2,2020,139,88,244,832.8445,2.9014999999999995
3,2219,140,102,242,828.2045,3.008
4,2478,140,277,233,833.1045,2.9284999999999997
5,3216,140,109,253,852.9235,3.0065
6,4253,100,309,232,840.7255,2.938
7,4512,139,118,220,842.1585,2.8865
8,5210,120,364,858,847.8105,3.021
9,5569,160,427,878,840.9105,3.1325
10,6067,180,373,943,831.3219999999999,3.153
11,7044,160,359,861,823.9655,3.1635
12,8519,179,350,867,816.8545000000001,3.106
13,11410,120,316,664,818.4555,3.0155000000000003
14,11550,120,318,672,815.3320000000001,2.904
15,11949,100,316,737,818.4445,2.896
16,13942,100,340,778,816.5755,2.8440000000000003
17,15159,140,351,923,814.338,3.0344999999999995
18,15717,120,322,811,813.787,2.9010000000000002
19,15996,100,337,801,813.9105000000001,2.854
20,17292,100,404,831,813.6634999999999,2.9179999999999997
21,19186,100,341,953,812.2725,3.0145
22,19983,120,324,946,814.2055,2.9290000000000003
23,20203,100,325,949,811.846,2.9635
24,21459,279,307,939,813.1759999999999,2.9245
25,21818,160,341,936,811.462,3.0295
26,22077,399,412,967,814.677,2.9625
27,22735,120,360,910,815.9804999999999,3.0135000000000005
29,29414,100,309,554,814.0364999999999,2.7575000000000003
30,30032,219,312,509,808.101,2.7889999999999997
31,30511,139,318,521,808.806,2.827
32,32165,139,394,902,810.817,2.9299999999999997
33,33561,120,420,572,808.8389999999999,2.9345
35,39243,140,408,715,813.5074999999999,2.8135000000000003
36,41735,100,408,701,809.3439999999999,2.843
37,43629,100,383,684,813.1065000000001,2.7954999999999997
38,47158,120,359,763,810.671,2.7495
39,47497,100,313,751,808.8985,2.8145000000000002
41,50667,100,338,649,808.947,2.8055000000000003
42,50946,120,432,688,807.457,2.7085
43,59081,140,424,574,797.3129999999999,2.7015000000000002
44,59539,100,422,533,796.6229999999999,2.7125
45,60417,120,298,856,808.6439999999999,2.9480000000000004
46,61035,120,245,300,803.223,2.898
47,62450,159,207,831,803.7745,2.9005
48,63367,139,236,696,804.8895,2.9010000000000002
49,63686,139,190,658,806.287,2.856
50,64165,120,170,639,809.539,2.823
51,64663,160,165,630,811.5105,2.7355
52,66697,100,259,745,806.5205000000001,2.91
53,70425,259,247,197,810.703,2.8095
54,70704,160,276,198,811.999,2.702
55,70904,458,76,212,813.789,2.7119999999999997
56,71402,120,310,222,816.1575,2.7735000000000003
57,72200,100,1050,878,815.559,2.827
58,72917,179,989,871,813.3720000000001,2.8129999999999997
59,74473,100,1013,765,808.4975,2.832
60,75031,140,1066,822,807.548,2.8305
61,75350,140,1087,887,805.7825,2.857
62,75629,199,1057,878,805.0920000000001,2.82
63,75988,140,1037,887,803.487,2.767
64,76287,100,1068,725,805.409,2.9154999999999998
65,78241,120,1086,488,805.6514999999999,2.902
66,78839,120,982,653,804.83,2.7560000000000002
67,79218,100,987,722,808.228,2.8125
68,80972,120,1098,727,803.8095000000001,2.7880000000000003
69,83165,100,954,620,808.058,2.7479999999999998
70,83325,100,950,620,810.5535,2.771
71,84023,100,947,655,808.0695000000001,2.827
72,84720,100,849,693,808.5899999999999,2.838
73,85598,120,903,566,806.9325,2.712
74,87811,100,890,742,806.8985,2.8055000000000003
75,89705,100,883,711,808.653,2.9495000000000005
76,90263,120,876,744,803.8444999999999,2.796
77,92277,140,959,634,810.8105,2.923
78,93852,120,424,712,801.755,2.8555
79,94709,100,455,591,806.0174999999999,2.8335
80,95068,279,373,933,797.6585,2.934
81,95367,179,341,941,792.1635,2.8745
82,95567,100,345,949,791.2905000000001,2.9205
83,95885,199,364,936,798.11,2.801
84,96125,120,388,938,799.0285000000001,2.9370000000000003
85,96284,120,362,938,802.59,2.9830000000000005
86,97002,139,478,720,801.3889999999999,2.952
87,97401,139,358,521,803.2135,2.7225
89,104758,160,384,919,803.35,3.0084999999999997
90,106392,219,251,755,800.8095,2.7344999999999997
91,110181,379,96,222,802.1770000000001,2.7569999999999997
92,112434,120,344,799,804.345,2.8745000000000003
93,113311,159,324,783,805.005,2.9375
94,118853,140,326,735,811.855,2.7745
95,119591,100,293,510,814.9105,2.788
96,121864,100,912,739,802.9214999999999,2.793
97,122343,139,922,743,802.8465,2.8455000000000004
98,124137,100,972,626,796.4910000000001,2.636
99,127805,160,253,209,811.25,2.6369999999999996
100,128503,159,185,190,810.9305,2.786
101,128862,100,325,177,817.654,2.739
102,129061,100,403,174,813.9960000000001,2.8505
103,131633,139,412,917,819.7085000000001,2.8995
104,132172,239,353,935,816.867,2.895
105,132790,140,305,997,806.2684999999999,2.875
106,133687,100,907,656,815.3855000000001,2.714
107,135481,159,246,684,817.308,2.8625
108,136020,120,240,672,816.7625,2.8665000000000003
109,138851,120,309,553,818.1095,2.7110000000000003
111,140486,179,527,197,822.107,2.679
112,140725,160,438,216,827.5005,2.8099999999999996
113,141243,159,499,210,829.6010000000001,2.7235
114,141483,299,491,212,825.4875,2.746
115,143257,179,610,210,821.2525,2.826
116,143496,120,604,229,821.362,2.7685000000000004
117,143656,179,616,215,821.7090000000001,2.7105
118,143895,159,618,222,820.5039999999999,2.8575
119,144094,120,617,220,821.8805,2.851
120,144334,180,601,214,821.423,2.8005000000000004
121,144872,159,517,259,819.5595,2.872
122,145051,100,524,267,822.59,2.846
123,145251,160,316,235,823.614,2.8505
124,145689,100,95,253,824.915,2.9195
126,147424,140,277,235,834.9945,2.817
127,147803,160,261,231,841.1205,2.8825000000000003
128,149218,100,341,884,834.1025,3.0075000000000003
129,149497,100,291,916,828.424,3.0789999999999997
130,149677,120,262,897,825.39,3.072
131,150155,180,245,896,821.98,2.9735
132,151252,140,201,706,814.7159999999999,2.799
133,153026,100,222,724,813.9995000000001,2.876
134,153684,199,200,711,810.2985,2.9699999999999998
135,153943,100,170,683,810.6154999999999,2.909
136,154203,100,191,707,810.968,2.836
137,158549,139,97,235,827.9875,2.7565
138,159725,160,200,270,830.5715,2.737
139,160543,100,269,233,831.2694999999999,2.726
140,160682,100,256,232,833.9005,2.8015
141,162237,159,1222,672,822.6865,2.6845
142,163035,179,896,629,823.4289999999999,2.9615
143,164510,399,88,244,825.289,2.8255
144,166723,100,1033,769,816.0825,2.891
146,167162,100,1072,915,810.9585,2.974
147,167561,339,1018,908,807.1645000000001,3.0789999999999997
148,168019,140,1026,903,808.9485,3.0330000000000004
149,168179,180,1051,899,809.3555000000001,2.963
150,168657,239,1046,896,809.8255,2.9295
151,169315,120,1029,910,809.776,2.886
152,169873,219,977,961,813.1575,2.8765
153,170292,100,987,946,809.986,2.8064999999999998
154,171568,140,883,967,812.4825,2.8825000000000003
155,171807,120,1009,904,811.6700000000001,2.8875
156,173881,120,1070,619,812.3035,2.6625
158,175915,100,913,667,817.4985,2.7365000000000004
159,176034,139,928,634,817.0745,2.7635
160,179224,100,1049,914,808.729,3.2710000000000004
161,179523,239,1041,620,762.958,2.9975
162,179782,179,1081,626,747.4925000000001,3.0175
163,180420,199,1172,671,743.1709999999999,3.127
164,180919,199,1048,767,776.3465,3.0745000000000005
165,181756,179,958,814,785.7405,2.918
166,182275,100,1071,864,782.3770000000001,2.916
167,182454,259,1034,877,782.8625,2.982
168,182733,199,1042,862,786.0954999999999,2.9615
169,182992,140,1002,883,785.5264999999999,3.0694999999999997
170,183571,120,1083,853,783.2075,2.953
171,183830,100,1045,870,785.104,2.8129999999999997
172,184009,159,1052,861,784.969,2.8315
173,184827,120,1114,934,783.0440000000001,2.776
174,184966,179,1132,946,782.913,2.7664999999999997
175,185225,140,1028,953,783.309,2.755
176,185425,100,969,852,782.326,2.6929999999999996
177,185624,199,987,878,784.461,2.77
178,186003,100,994,851,783.9865,2.768
179,186123,100,974,890,783.77,2.7795000000000005
180,187080,140,994,688,781.2795000000001,2.6855
181,187299,120,983,865,784.2505,2.779
182,187578,219,913,948,782.5495,2.7984999999999998
183,187817,100,952,952,779.815,2.8435000000000006
184,188435,179,908,862,779.9100000000001,2.8975
185,188675,100,897,879,784.7535,2.9210000000000003
186,189013,199,910,855,782.9644999999999,2.7995
187,189273,120,902,865,783.6990000000001,2.9429999999999996
188,189931,120,404,221,790.1179999999999,2.739
189,190190,279,296,215,792.059,2.75
190,190489,100,264,220,790.101,2.784
191,191127,120,282,229,794.0785,2.8609999999999998
192,191386,259,87,260,789.1995000000001,2.8485
193,192124,139,930,870,786.9295,2.9085
194,194118,120,916,878,787.287,3.0469999999999997
